Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
80,SS,1293126,Andén DIAG 79 A CL 5 -299,5200238,BRAZO CARABOBO SENCILLO,3,,BRAZO CARABOBO SENCILLO,"Tabla 1 al 331_2026.pdf, pagina 80",5200238
81,SS,1280906,SENDERO PEATONAL VDA PAJARITO POR LA FABRICA DE VELAS DON PEDRO,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 81",5200231
81,SS,1280906,SENDERO PEATONAL VDA PAJARITO POR LA FABRICA DE VELAS DON PEDRO,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 81",5000263
82,SS,1292879,Andén CL 7 SUR CR 51-41,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 82",5200231
82,SS,1292879,Andén CL 7 SUR CR 51-41,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 82",5000263
83,SS,1280065,VIA VDA FRISOLA VIA TELEFERICO # 77 CL 120 # 228 - 77,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 83",5200232
83,SS,1280065,VIA VDA FRISOLA VIA TELEFERICO # 77 CL 120 # 228 - 77,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 83",5000263
83,SS,1280065,VIA VDA FRISOLA VIA TELEFERICO # 77 CL 120 # 228 - 77,5200419,UCAP POSTE PRFV 8M (ENTERRAR),2,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 83",5200419
83,SS,1280065,VIA VDA FRISOLA VIA TELEFERICO # 77 CL 120 # 228 - 77,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,49,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 83",5200464
84,SS,1290975,Sendero Peatonal CL 58 A CR 85E -87 (INTERIOR 201),5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 84",5200231
84,SS,1290975,Sendero Peatonal CL 58 A CR 85E -87 (INTERIOR 201),5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 84",5000263
84,SS,1290975,Sendero Peatonal CL 58 A CR 85E -87 (INTERIOR 201),5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 84",5200419
84,SS,1290975,Sendero Peatonal CL 58 A CR 85E -87 (INTERIOR 201),5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,9,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 84",5200464
85,SS,1292290,PLACA POLIDEPORTIVA CR80 B CL 34 C,5200421,CABLE FZA AL 3X6 AWG XLPE 600V 90°C,28,,CABLE FZA AL 3X6 AWG XLPE 600V 90°C,"Tabla 1 al 331_2026.pdf, pagina 85",5200421
85,SS,1292290,PLACA POLIDEPORTIVA CR80 B CL 34 C,5200799,CONTROL TEMPORIZADO 25 A,1,,CONTROL TEMPORIZADO 25 A,"Tabla 1 al 331_2026.pdf, pagina 85",5200799
86,SS,1292629,SENDERO PEATONAL CL 118 # 64 CC – 68,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 86",5200232
86,SS,1292629,SENDERO PEATONAL CL 118 # 64 CC – 68,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 86",5000263
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,5,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 87",5000263
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5000264,"LUM LED 62,4W ASIMÉTRICA 4000K HORIZONTAL",1,,LUM LED 62 4W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 87",5000264
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5200302,UCAP POSTE CONCRETO CARABOBO 5M,6,,POSTE CONCRETO CARABOBO 5M,"Tabla 1 al 331_2026.pdf, pagina 87",5200302
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",20,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 87",5200407
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5200411,UCAP CABLE 3X8 ENTERRADO Z.VERDE,81,,CABLE 3X8 ENTERRADO Z.VERDE,"Tabla 1 al 331_2026.pdf, pagina 87",5200411
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5200501,UCAP CAJA CONCRETO 50X50 CM,7,,CAJA CONCRETO 50X50 CM,"Tabla 1 al 331_2026.pdf, pagina 87",5200501
87,SS,1159336,SENDERO PEATONAL - PARQUE INFANTIL CL 92A #67A-35_SMAP- CIL-0158-25,5200238,BRAZO CARABOBO SENCILLO,6,,BRAZO CARABOBO SENCILLO,"Tabla 1 al 331_2026.pdf, pagina 87",5200238
88,SS,1133043,SMAP-CIL-0091-25 CL 54 A CR 81 B,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 88",5200231
88,SS,1133043,SMAP-CIL-0091-25 CL 54 A CR 81 B,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,3,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 88",5000263
89,SS,1133892,SMAP-CIL-0105-25 CL 48 E CR 103 B-84,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 89",5200232
89,SS,1133892,SMAP-CIL-0105-25 CL 48 E CR 103 B-84,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 89",5000263
90,SS,1221411,Vda. La Aldea Vía Palmitas CL 133 CR 193-185,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,1,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 90",5200232
90,SS,1221411,Vda. La Aldea Vía Palmitas CL 133 CR 193-185,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 90",5000263
90,SS,1221411,Vda. La Aldea Vía Palmitas CL 133 CR 193-185,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 90",5200308
90,SS,1221411,Vda. La Aldea Vía Palmitas CL 133 CR 193-185,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,30,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 90",5200464
90,SS,1221411,Vda. La Aldea Vía Palmitas CL 133 CR 193-185,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"Tabla 1 al 331_2026.pdf, pagina 90",5200217
90,SS,1221411,Vda. La Aldea Vía Palmitas CL 133 CR 193-185,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"Tabla 1 al 331_2026.pdf, pagina 90",5200201
91,SS,1285564,Carlos E restrepo CL 57 DIAG 63AA,5200799,CONTROL TEMPORIZADO 25 A,2,,CONTROL TEMPORIZADO 25 A,"Tabla 1 al 331_2026.pdf, pagina 91",5200799
92,SS,1280964,SENDERO PEATONAL Circular 5 Carrera 66B - 179,5200799,CONTROL TEMPORIZADO 25 A,2,,CONTROL TEMPORIZADO 25 A,"Tabla 1 al 331_2026.pdf, pagina 92",5200799
93,SS,1280968,Cancha Polideportiva El Triángulo Calle 40 # 63C 65,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,34,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 93",5200464
93,SS,1280968,Cancha Polideportiva El Triángulo Calle 40 # 63C 65,5200799,CONTROL TEMPORIZADO 25 A,2,,CONTROL TEMPORIZADO 25 A,"Tabla 1 al 331_2026.pdf, pagina 93",5200799
94,SS,1280552,Cancha deportiva santa maria de la paz CR 71A CL 81,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",2,,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 94",5200235
94,SS,1280552,Cancha deportiva santa maria de la paz CR 71A CL 81,5200241,UCAP BRAZO CURVO 3000M,,2,BRAZO CURVO 3000M,"Tabla 1 al 331_2026.pdf, pagina 94",5200241
95,SS,1285585,Sendero Peatonal CR 111B CL 34CC-84,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 95",5200231
95,SS,1285585,Sendero Peatonal CR 111B CL 34CC-84,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 95",5000263
95,SS,1285585,Sendero Peatonal CR 111B CL 34CC-84,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 95",5200419
95,SS,1285585,Sendero Peatonal CR 111B CL 34CC-84,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,34,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 95",5200464
96,SS,1285885,Sendero Peatonal CL 3 A CR 80 A -26,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 96",5200232
96,SS,1285885,Sendero Peatonal CL 3 A CR 80 A -26,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 96",5000263
96,SS,1285885,Sendero Peatonal CL 3 A CR 80 A -26,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 96",5200419
96,SS,1285885,Sendero Peatonal CL 3 A CR 80 A -26,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,15,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 96",5200464
97,SS,1279840,SENDERO PEATONAL CR 90 D CL 82 -8 INTERIOR 201,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 97",5200231
97,SS,1279840,SENDERO PEATONAL CR 90 D CL 82 -8 INTERIOR 201,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 97",5000263
97,SS,1279840,SENDERO PEATONAL CR 90 D CL 82 -8 INTERIOR 201,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,13,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 97",5200464
98,SS,,Unidad Belen Rincón CR 76A CL 1C-5,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,34,15,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 98",5200464
98,SS,,Unidad Belen Rincón CR 76A CL 1C-5,5200799,CONTROL TEMPORIZADO 25 A,2,,CONTROL TEMPORIZADO 25 A,"Tabla 1 al 331_2026.pdf, pagina 98",5200799
98,SS,,Unidad Belen Rincón CR 76A CL 1C-5,5200206,UCAP LUMINARIA LED 56W HORIZONTAL,,2,LUMINARIA LED 56W HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 98",5200206
98,SS,,Unidad Belen Rincón CR 76A CL 1C-5,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",,2,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 98",5200231
98,SS,,Unidad Belen Rincón CR 76A CL 1C-5,5200419,UCAP POSTE PRFV 8M (ENTERRAR),,1,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 98",5200419
99,SS,1278366,SENDERO PEATONAL CL 114 CR 81 - 34 int 103,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 99",5200231
99,SS,1278366,SENDERO PEATONAL CL 114 CR 81 - 34 int 103,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 99",5000263
99,SS,1278366,SENDERO PEATONAL CL 114 CR 81 - 34 int 103,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,3,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 99",5200464
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5090209,PUESTA A TIERRA,17,,PUESTA A TIERRA,"Tabla 1 al 331_2026.pdf, pagina 100",5090209
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",113,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 100",5200232
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5000264,"LUM LED 62,4W ASIMÉTRICA 4000K HORIZONTAL",113,,LUM LED 62 4W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 100",5000264
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5200301,UCAP POSTE CONCRETO REDONDO 9M.,113,,POSTE CONCRETO REDONDO 9M,"Tabla 1 al 331_2026.pdf, pagina 100",5200301
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",2738,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 100",5200407
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5200408,UCAP TRIPLEX AL 2X2+1X4 XLP AEREO,613,,TRIPLEX AL 2X2+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 100",5200408
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,,35,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 100",5200464
100,SS,1067492,Via San Antonio de Prado el Chuscal Calle 24sur Carrera 94-12,5120201,UCAP - VIENTO SECUNDARIO CONVENCIONAL,24,,- VIENTO SECUNDARIO CONVENCIONAL,"Tabla 1 al 331_2026.pdf, pagina 100",5120201
101,SS,1218030,Cancha de tejo San Cristóbal 1 y 2 CR 130 B CL 64,5090208,CAJA DE PASO METÁLICA,18,,CAJA DE PASO METALICA,"Tabla 1 al 331_2026.pdf, pagina 101",5090208
101,SS,1218030,Cancha de tejo San Cristóbal 1 y 2 CR 130 B CL 64,5200905,(cid:9)PROYECTOR LED 25W SIMETRICO 5000K (ACROLED),16,,CID 9 PROYECTOR LED 25W SIMETRICO 5000K ACROLED,"Tabla 1 al 331_2026.pdf, pagina 101",5200905
101,SS,1218030,Cancha de tejo San Cristóbal 1 y 2 CR 130 B CL 64,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,76,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 101",5200464
101,SS,1218030,Cancha de tejo San Cristóbal 1 y 2 CR 130 B CL 64,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",,1,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 101",5200232
101,SS,1218030,Cancha de tejo San Cristóbal 1 y 2 CR 130 B CL 64,5200270,LUM LED (KORELED) 44W,,1,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 101",5200270
102,SS,1227868,VIA VEREDA TRAVESIAS Corregimiento San Cristobal,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",5,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 102",5200232
102,SS,1227868,VIA VEREDA TRAVESIAS Corregimiento San Cristobal,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,5,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 102",5000263
103,SS,1228651,CRA 75 #49-36 Andén Peatonal Barrio Estadio,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 103",5200231
103,SS,1228651,CRA 75 #49-36 Andén Peatonal Barrio Estadio,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 103",5000263
104,SS,1237803,SENDERO PEATONAL VEREDA EL LLANO,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 104",5200231
104,SS,1237803,SENDERO PEATONAL VEREDA EL LLANO,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 104",5000263
105,SS,1265952,VIA SMAP 0420 CL 89 ENTRE CR 75B Y CR 76,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,2,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 105",5200232
105,SS,1265952,VIA SMAP 0420 CL 89 ENTRE CR 75B Y CR 76,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 105",5000263
105,SS,1265952,VIA SMAP 0420 CL 89 ENTRE CR 75B Y CR 76,5200217,UCAP LUMINARIA 70W,,2,LUMINARIA 70W,"Tabla 1 al 331_2026.pdf, pagina 105",5200217
105,SS,1265952,VIA SMAP 0420 CL 89 ENTRE CR 75B Y CR 76,5200201,UCAP BOMBILLO 70W,,2,BOMBILLO 70W,"Tabla 1 al 331_2026.pdf, pagina 105",5200201
106,SS,1272584,SENDERO PEATONAL CR 98 D CL 67 C -18,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 106",5200231
106,SS,1272584,SENDERO PEATONAL CR 98 D CL 67 C -18,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 106",5000263
106,SS,1272584,SENDERO PEATONAL CR 98 D CL 67 C -18,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,2,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 106",5200464
107,SS,1273562,Sendero Peatonal CR 94 CL 57C -65 (INTERIOR 2142),5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 107",5200231
107,SS,1273562,Sendero Peatonal CR 94 CL 57C -65 (INTERIOR 2142),5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 107",5000263
108,SS,1273907,Sendero Peatonal-Palo Blanco CR 84 CL 41 A SUR -92 (INTERIOR 116),5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 108",5200231
108,SS,1273907,Sendero Peatonal-Palo Blanco CR 84 CL 41 A SUR -92 (INTERIOR 116),5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 108",5000263
109,SS,1234,Sendero Peatonal-Buga parte alta CR 137B -15A 191,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 109",5200232
109,SS,1234,Sendero Peatonal-Buga parte alta CR 137B -15A 191,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 109",5000263
110,SS,1279255,Vía-vereda la Verde CL 36 D SUR CR 55 E -22 (INTERIOR 301),5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",4,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 110",5200232
110,SS,1279255,Vía-vereda la Verde CL 36 D SUR CR 55 E -22 (INTERIOR 301),5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,4,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 110",5000263
110,SS,1279255,Vía-vereda la Verde CL 36 D SUR CR 55 E -22 (INTERIOR 301),5200308,UCAP POSTE CONCRETO OCTOG 8M,4,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 110",5200308
110,SS,1279255,Vía-vereda la Verde CL 36 D SUR CR 55 E -22 (INTERIOR 301),5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",123,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 110",5200407
111,SS,1279979,Sendero peatonal-La Cuchilla CL 48 D CR 99 B -621,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 111",5200231
111,SS,1279979,Sendero peatonal-La Cuchilla CL 48 D CR 99 B -621,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 111",5000263
111,SS,1279979,Sendero peatonal-La Cuchilla CL 48 D CR 99 B -621,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 111",5200419
111,SS,1279979,Sendero peatonal-La Cuchilla CL 48 D CR 99 B -621,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,16,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 111",5200464
112,SS,1286701,Vía CL 47A CR 95,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 112",5200231
112,SS,1286701,Vía CL 47A CR 95,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 112",5200232
112,SS,1286701,Vía CL 47A CR 95,5200271,LUM LED (MAXIMO M) 59.16W,1,,LUM LED MAXIMO M 59.16W,"Tabla 1 al 331_2026.pdf, pagina 112",5200271
112,SS,1286701,Vía CL 47A CR 95,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,2,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 112",5000263
112,SS,1286701,Vía CL 47A CR 95,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 112",5200308
112,SS,1286701,Vía CL 47A CR 95,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,15,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 112",5200464
113,SS,1199156,ZONA VERDE CR 65 CL 101,5000269,"PROYEC LED 110W TIPO V LARGA (LONG ""L"") 5000K",4,,PROYEC LED 110W TIPO V LARGA LONG L 5000K,"Tabla 1 al 331_2026.pdf, pagina 113",5000269
113,SS,1199156,ZONA VERDE CR 65 CL 101,5200127,UCAP PROY. 1000W.,,4,PROY 1000W,"Tabla 1 al 331_2026.pdf, pagina 113",5200127
113,SS,1199156,ZONA VERDE CR 65 CL 101,5200214,UCAP BOMBILLO 1000W,,4,BOMBILLO 1000W,"Tabla 1 al 331_2026.pdf, pagina 113",5200214
114,SS,1213672,SENDERO PEATONAL CR 63 # 103EE-164,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",3,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 114",5200232
114,SS,1213672,SENDERO PEATONAL CR 63 # 103EE-164,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,3,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 114",5000263
114,SS,1213672,SENDERO PEATONAL CR 63 # 103EE-164,5200217,UCAP LUMINARIA 70W,,3,LUMINARIA 70W,"Tabla 1 al 331_2026.pdf, pagina 114",5200217
114,SS,1213672,SENDERO PEATONAL CR 63 # 103EE-164,5200201,UCAP BOMBILLO 70W,,3,BOMBILLO 70W,"Tabla 1 al 331_2026.pdf, pagina 114",5200201
115,SS,1228322,VIA SECUNDARIA CR 73A CL 100 -15,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",3,1,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 115",5200232
