Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2025,118,SS,1159547,Sendero peatonal-Las independencias Cll 34 DD # 111 B 27,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"Tablas 1 al 392_2025.pdf, pagina 118",5200217
2025,118,SS,1159547,Sendero peatonal-Las independencias Cll 34 DD # 111 B 27,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"Tablas 1 al 392_2025.pdf, pagina 118",5200201
2025,119,SS,203612,"VIA SECUNDARIA, CL 11 B CR 36 B 65",5200206,Luminaria LED 56W Horizontal,3,,LUMINARIA LED 56W HORIZONTAL,"Tablas 1 al 392_2025.pdf, pagina 119",5200206
2025,119,SS,203612,"VIA SECUNDARIA, CL 11 B CR 36 B 65",5200232,"BRAZO 1"" - 1.5m - 52°/0°",3,,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 119",5200232
2025,119,SS,203612,"VIA SECUNDARIA, CL 11 B CR 36 B 65",5200419,Poste PRFV 8m (Enterrar),3,,POSTE PRFV 8M ENTERRAR,"Tablas 1 al 392_2025.pdf, pagina 119",5200419
2025,119,SS,203612,"VIA SECUNDARIA, CL 11 B CR 36 B 65",5200407,"triplex Al 2x4+1x4 xlp,aereo",42,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tablas 1 al 392_2025.pdf, pagina 119",5200407
2025,120,SN,730577,PARQUE CL 105 CA CR 48 AA - 77,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 120",5200270
2025,120,SN,730577,PARQUE CL 105 CA CR 48 AA - 77,5200232,"BR 1"" - 1.5M - 52°/0°",2,,BR 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 120",5200232
2025,120,SN,730577,PARQUE CL 105 CA CR 48 AA - 77,5200419,POST PRFV 8M 510KGF,1,,POST PRFV 8M 510KGF,"Tablas 1 al 392_2025.pdf, pagina 120",5200419
2025,120,SN,730577,PARQUE CL 105 CA CR 48 AA - 77,5200464,CABL CU 3X14 (ENCAU),19,,CABL CU 3X14 ENCAU,"Tablas 1 al 392_2025.pdf, pagina 120",5200464
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",14,4,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 121",5200232
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200239,UCAP BRAZO DOBLE CARABOBO,1,3,BRAZO DOBLE CARABOBO,"Tablas 1 al 392_2025.pdf, pagina 121",5200239
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200270,LUM LED (KORELED) 44W,9,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 121",5200270
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200293,LUM LED (OMEGA II) 64.5W,13,,LUM LED OMEGA II 64.5W,"Tablas 1 al 392_2025.pdf, pagina 121",5200293
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200301,UCAP POSTE CONCRETO REDONDO 9M.,2,,POSTE CONCRETO REDONDO 9M,"Tablas 1 al 392_2025.pdf, pagina 121",5200301
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200302,UCAP POSTE CONCRETO CARABOBO 5M,7,3,POSTE CONCRETO CARABOBO 5M,"Tablas 1 al 392_2025.pdf, pagina 121",5200302
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200308,UCAP POSTE CONCRETO OCTOG 8M,2,,POSTE CONCRETO OCTOG 8M,"Tablas 1 al 392_2025.pdf, pagina 121",5200308
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200422,CABLE FZA AL 3X6 AWG XLPE 600V 90°C ENTERRADO,57,,CABLE FZA AL 3X6 AWG XLPE 600V 90°C ENTERRADO,"Tablas 1 al 392_2025.pdf, pagina 121",5200422
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,74,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 121",5200464
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200501,UCAP CAJA CONCRETO 50X50 CM,7,,CAJA CONCRETO 50X50 CM,"Tablas 1 al 392_2025.pdf, pagina 121",5200501
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200238,BRAZO CARABOBO SENCILLO,6,,BRAZO CARABOBO SENCILLO,"Tablas 1 al 392_2025.pdf, pagina 121",5200238
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200217,UCAP LUMINARIA 70W,,10,LUMINARIA 70W,"Tablas 1 al 392_2025.pdf, pagina 121",5200217
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200201,UCAP BOMBILLO 70W,,10,BOMBILLO 70W,"Tablas 1 al 392_2025.pdf, pagina 121",5200201
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200218,UCAP LUMINARIA 150W,,6,LUMINARIA 150W,"Tablas 1 al 392_2025.pdf, pagina 121",5200218
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200202,UCAP BOMBILLO 150W,,6,BOMBILLO 150W,"Tablas 1 al 392_2025.pdf, pagina 121",5200202
2025,121,SN,757923,"Transversal 53A x carrera 65, Barrio Carlos E Transversal 53A x carrera 65",5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",,6,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 121",5200235
2025,122,SN,949429,Cr 88 Cl 77 AC - 25,5200270,LUM LED (KORELED) 44W,12,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 122",5200270
2025,122,SN,949429,Cr 88 Cl 77 AC - 25,5200232,"BR 1"" - 1.5M - 52°/0°",12,11,BR 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 122",5200232
2025,122,SN,949429,Cr 88 Cl 77 AC - 25,5200464,CABL CU 3X14 (ENCAU),16,,CABL CU 3X14 ENCAU,"Tablas 1 al 392_2025.pdf, pagina 122",5200464
2025,122,SN,949429,Cr 88 Cl 77 AC - 25,5200217,RET - LUM 70W,,11,RET - LUM 70W,"Tablas 1 al 392_2025.pdf, pagina 122",5200217
2025,122,SN,949429,Cr 88 Cl 77 AC - 25,5200201,RET - BOMB 70W,,11,RET - BOMB 70W,"Tablas 1 al 392_2025.pdf, pagina 122",5200201
2025,122,SN,949429,Cr 88 Cl 77 AC - 25,5200410,RET - DUPLEX CU 14 AWG,,16,RET - DUPLEX CU 14 AWG,"Tablas 1 al 392_2025.pdf, pagina 122",5200410
