Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2026,137,SS,1361599,SMAP-CIV-0187-26 - Callejón Cr 37 A Cl 107 C - 16 Int 105,5200270,LUM LED (KORELED) 44W,,1,LUM LED KORELED 44W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 137",5200270
2026,138,SS,1361680,SMAP-CIV-0192-26 - Sendero Cr 65 Cl 72,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,1,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 138",5200232
2026,138,SS,1361680,SMAP-CIV-0192-26 - Sendero Cr 65 Cl 72,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 138",5000263
2026,138,SS,1361680,SMAP-CIV-0192-26 - Sendero Cr 65 Cl 72,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 138",5200217
2026,138,SS,1361680,SMAP-CIV-0192-26 - Sendero Cr 65 Cl 72,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 138",5200201
2026,139,SS,1361702,SMAP-CIV-194-26 CL 52 Sur CR 70 - 69,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 139",5200232
2026,139,SS,1361702,SMAP-CIV-194-26 CL 52 Sur CR 70 - 69,5200293,LUM LED (OMEGA II ) 64.5W,1,1,LUM LED OMEGA II 64.5W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 139",5200293
2026,139,SS,1361702,SMAP-CIV-194-26 CL 52 Sur CR 70 - 69,5200241,UCAP BRAZO CURVO 3000M,,1,BRAZO CURVO 3000M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 139",5200241
2026,140,SS,1361719,SMAP-CIV-0198-26 - Sendero Cl 96 Cr 80 - 39,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 140",5200231
2026,140,SS,1361719,SMAP-CIV-0198-26 - Sendero Cl 96 Cr 80 - 39,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 140",5000263
2026,140,SS,1361719,SMAP-CIV-0198-26 - Sendero Cl 96 Cr 80 - 39,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 140",5200419
2026,140,SS,1361719,SMAP-CIV-0198-26 - Sendero Cl 96 Cr 80 - 39,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,26,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 140",5200464
2026,141,SS,1361729,SMAP-CIV-200-26 CL 13 SUR CR 55 -295,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,1,BRAZO 1 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 141",5200232
2026,141,SS,1361729,SMAP-CIV-200-26 CL 13 SUR CR 55 -295,5200293,LUM LED (OMEGA II ) 64.5W,1,1,LUM LED OMEGA II 64.5W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 141",5200293
2026,142,SS,1361731,SMAP-CIV-201-26-Andén Cr 44 Cl 85 - 129,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,1,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 142",5000263
2026,142,SS,1361731,SMAP-CIV-201-26-Andén Cr 44 Cl 85 - 129,5200238,UCAP BRAZO SENCILLO CARABOBO,1,1,BRAZO SENCILLO CARABOBO,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 142",5200238
2026,142,SS,1361731,SMAP-CIV-201-26-Andén Cr 44 Cl 85 - 129,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 142",5200217
2026,142,SS,1361731,SMAP-CIV-201-26-Andén Cr 44 Cl 85 - 129,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 142",5200201
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5000263,LUM LED 48W ASIMÉTRICA 4000K HORIZONTAL,3,,LUM LED 48W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5000263
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200302,UCAP POSTE CONCRETO CARABOBO 5M,1,,POSTE CONCRETO CARABOBO 5M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200302
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200422,CABLE FZA AL 3X6 AWG XLPE 600V 90°C ENTERRADO,17,,CABLE FZA AL 3X6 AWG XLPE 600V 90°C ENTERRADO,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200422
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,6,,CABLE CU ENCAUCHETADO 3X14 CU,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200464
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200501,UCAP CAJA CONCRETO 50X50 CM,1,,CAJA CONCRETO 50X50 CM,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200501
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200238,UCAP BRAZO SENCILLO CARABOBO,3,2,BRAZO SENCILLO CARABOBO,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200238
